name,ra,dec,pm_ra,pm_dec,parallax,spect_type,lii,bii,_class,dist
HIP 101307,308.01853014,60.42255356,5.37,-77.17,13.48,F2,95.74194065,12.11089531,STAR F2,74.1839762611276
HIP 101308,308.02132988,-5.24242312,-2.74,19.61,7.01,K0,39.99928341,-24.7388221,STAR K0,142.65335235378
HIP 101309,308.02187403,-8.43832231,32.61,1.4,6.48,A3,36.84094957,-26.18216481,STAR A3,154.320987654321
HIP 10131,32.57046364,-45.62593642,-5.73,1.33,1.56,K1III,267.85934411,-65.76468367,STAR K1III,641.025641025641
HIP 101310,308.02346345,25.35205154,6.06,2.15,2.04,A0,67.15237418,-8.4382942,STAR A0,490.196078431373
HIP 101311,308.02459025,62.49063903,-7.22,-7.69,1.76,K5,97.49412413,13.27502218,STAR K5,568.181818181818
HIP 101312,308.02652432,22.01413931,-1.28,-5.51,0.95,B9,64.39123558,-10.36756149,STAR B9,1052.63157894737
HIP 101313,308.02692474,35.96895872,0.03,-1.78,1.47,,75.7894221,-2.20627657,UNIDENTIFIED,680.272108843537
HIP 101314,308.02946506,70.47242852,6.57,0.45,5.87,A0,104.42192819,17.6518787,STAR A0,170.357751277683
HIP 101315,308.0316932,15.18644346,101.25,111.8,10.21,G0,58.63003963,-14.23375842,STAR G0,97.9431929480901
HIP 101316,308.03324636,18.62763301,11.92,-5.45,4.15,M4II-III,61.55716972,-12.3034645,STAR M4II,240.963855421687
HIP 101317,308.0365453,-47.70148388,85.82,-132.91,30.4,K5/M0V,352.02402038,-36.3043145,STAR K5V,32.8947368421053
HIP 101318,308.03770601,22.82434811,3.62,-5.73,0.42,K0,65.07074182,-9.91025698,STAR K0,2380.95238095238
HIP 101319,308.03900528,-45.35542327,4.79,-7.32,7.18,F3V,354.92992594,-36.19275035,STAR F3V,139.275766016713
HIP 10132,32.57340546,-23.60313342,17.9,-6.79,5.45,F2,206.10674965,-71.86180919,STAR F2,183.48623853211
HIP 101320,308.04263862,15.88266524,-5.12,-14.21,0.97,G5,59.23195019,-13.85444819,STAR G5,1030.92783505155
HIP 101321,308.04382565,8.84779101,5.72,2.39,1.82,K0,53.11067215,-17.70264006,STAR K0,549.450549450549
HIP 101322,308.04532408,-72.97170355,17.67,-12.21,5.55,G8III,321.38560731,-33.1549516,STAR G8III,180.18018018018
HIP 101323,308.0536164,43.06598397,4.28,-0.98,1.95,Ap...,81.52021725,1.98191281,STAR A0,512.820512820513
HIP 101324,308.055305,-22.15485707,2.25,4.64,7.91,F0V,22.3979,-31.52448803,STAR F0V,126.422250316056
HIP 101325,308.05632794,65.39917125,9.75,18.34,7.55,K0,99.99228354,14.88399498,STAR K0,132.450331125828
HIP 101326,308.06115601,20.85958121,-0.49,-9.05,-0.07,B8,63.44687461,-11.05534481,STAR B8,-14285.7142857143
HIP 101327,308.06136981,-71.86415593,0.8,-35.05,6.26,A0/A1IV/V,322.66104659,-33.45568741,STAR A1IV,159.744408945687
HIP 101328,308.06122696,-24.06766234,1.85,-9.14,1.57,B1/B2III,20.26575707,-32.13898205,STAR B1III,636.942675159236
HIP 101329,308.0644754,-22.1617612,2.5,5.07,5.66,F0IV,22.39351349,-31.53477495,STAR F0IV,176.678445229682
HIP 10133,32.57674987,-46.44113032,-10.08,-0.96,4.51,F3V,269.27351619,-65.19880738,STAR F3V,221.729490022173
HIP 101330,308.06571422,-14.45831479,15.91,-13.39,4.24,G0,30.69876161,-28.74225047,STAR G0,235.849056603774
HIP 101331,308.06706458,-17.00883993,117.17,-153.32,12.02,G5V,28.00189924,-29.72578575,STAR G5V,83.1946755407654
HIP 101332,308.07103609,54.15630044,5.44,3.97,3.72,B9,90.542914,8.4899536,STAR B9,268.817204301075
HIP 101333,308.07279152,-83.43082922,22.23,21.51,2.92,K1III,309.77944521,-29.75966696,STAR K1III,342.465753424658
HIP 101334,308.07394418,-43.11277369,119.1,-48.29,13.82,G8IV/V,357.70037056,-36.04448733,STAR G8IV,72.3589001447178
HIP 101335,308.07388129,2.22006686,3.97,2.41,3.02,K2,47.12149297,-21.17344935,STAR K2,331.12582781457
HIP 101336,308.07888269,-24.87045456,9.07,-2.65,3,K4/K5III,19.36739967,-32.39924737,STAR K4III,333.333333333333
HIP 101337,308.08198555,71.56085028,81.9,90.6,9.72,G0,105.39983744,18.21697616,STAR G0,102.880658436214
HIP 101338,308.08156645,-49.1158213,-13.83,-11.87,6.21,F5V,350.26965532,-36.36804663,STAR F5V,161.030595813205
HIP 101339,308.08498217,2.13280461,29.89,1.24,2.88,K2,47.04666168,-21.22702486,STAR K2,347.222222222222
HIP 10134,32.58337927,-54.66524765,-43.95,-53.07,7.84,F7V,280.71105436,-58.92733252,STAR F7V,127.551020408163
HIP 101340,308.09078347,-28.60177324,2.16,6.82,4.88,K0III,15.10518235,-33.46106988,STAR K0III,204.918032786885
HIP 101341,308.09343797,41.30527289,-0.68,-2.67,-0.66,O7e,80.11905085,0.91466508,STAR O7,-1515.15151515152
HIP 101342,308.09413673,-38.42242403,4.88,-5.96,-0.42,M2/M3,3.44226059,-35.49516013,STAR M2,-2380.95238095238
HIP 101343,308.09453644,-7.45301891,21.59,-5.49,6.84,G0,37.85866205,-25.8090074,STAR G0,146.198830409357
HIP 101344,308.09712686,-38.28450165,18.54,-63.23,1.19,G8V,3.61016058,-35.47679145,STAR G8V,840.336134453782
HIP 101345,308.097973,-9.85364143,307.59,106.07,41.26,G3V,35.45383254,-26.86660089,STAR G3V,24.2365487154629
HIP 101346,308.09978364,6.51751703,74.25,23.67,8.63,G0Vm,51.05884025,-18.98343896,STAR G0V,115.874855156431
HIP 101347,308.10024449,5.27447359,7.57,-3.77,6.11,F2,49.93556946,-19.63257859,STAR F2,163.66612111293
