name,pm_ra,pm_dec,parallax,spect_type,lii,bii,vmag,bv_color,vi_color,vi_color_reduct,_class,dist
HIP 78866,  -23.75,  -40.83,  11.95,F2/F3V,303.51260766,-26.66992239, 7.83, 0.412,0.48,0.48,STAR F2V,83.6820083682008
HIP 104382,   25.96,    5.02,  12.07,F0III,303.9052626,-27.71340969, 5.45, 0.283,0.32,0.32,STAR F0III,82.8500414250207
HIP 32897,  -47.92,  187.50,  15.94,G2V,301.28628069,-27.11979079, 8.69, 0.608,0.68,0.68,STAR G2V,62.7352572145546
HIP 75736,  -88.78,  -80.65,  15.54,Am,304.24195492,-25.67578218, 6.49, 0.303,0.35,0.32,STAR A0,64.3500643500644
HIP 99687,   80.18, -121.93,  12.24,G0V+...,305.23798605,-27.87450361, 8.44, 0.564,0.64,0.64,STAR G0V,81.6993464052288
HIP 20325,   62.66,   68.84,  17.08,F5V,300.95995008,-28.44707301, 7.50, 0.473,0.54,0.54,STAR F5V,58.5480093676815
HIP 110397,  133.74, -210.25,  16.23,G3/G5IV,304.45506228,-28.8631015, 9.26, 0.684,0.74,0.74,STAR G3IV,61.6142945163278
HIP 1649,  128.80,   43.67,  11.33,G2V,303.29013318,-29.43976951, 8.73, 0.627,0.69,0.69,STAR G2V,88.261253309797
HIP 92824,  -36.69, -135.22,  13.06,K3III,305.62253088,-27.13767417, 5.29, 1.304,1.26,1.25,STAR K3III,76.5696784073507
HIP 64690, -221.35, -155.49,  40.52,G5IV-V,303.21316073,-24.70170184, 7.11, 0.710,0.76,0.71,STAR G5IV,24.6791707798618
HIP 100968,  169.74,  -57.85,  12.81,G3V,305.54666439,-28.14061274, 8.10, 0.689,0.75,0.75,STAR G3V,78.064012490242
HIP 13844,   24.35,  -37.67,  12.49,F6V,301.31649495,-29.39883204, 8.28, 0.502,0.57,0.55,STAR F6V,80.0640512409928
HIP 56557, -290.10,  -24.77,  17.09,G5IV/V,301.95863988,-24.54194201, 8.93, 0.706,0.76,0.76,STAR G5IV,58.5137507314219
HIP 77470,   -0.68,  -48.78,  16.40,F5V,305.04505994,-25.15983357, 7.81, 0.483,0.55,0.55,STAR F5V,60.9756097560976
HIP 64109,    0.46,   83.36,  27.10,G6IV/V,303.15676276,-24.35514762, 8.20, 0.721,0.77,0.78,STAR G6IV,36.90036900369
HIP 83217, -179.88, -156.04,  20.11,G8/K0V,305.68156578,-25.79923232, 9.41, 0.798,0.84,0.83,STAR G8V,49.7265042267529
HIP 73883,   10.19,   32.30,  12.52,F5/F6V,304.65611266,-24.76551646, 8.27, 0.477,0.55,0.57,STAR F5V,79.8722044728435
HIP 105585,  103.04,  -87.76,  19.10,G8:III:+...,305.58818455,-28.91509305, 8.80, 0.758,0.8,0.78,STAR G8III,52.3560209424084
HIP 32500,    4.64,    4.20,  25.55,F3V,299.58883878,-27.14658836, 6.46, 0.429,0.5,0.48,STAR F3V,39.1389432485323
HIP 52065,  -37.04,   35.39,  16.91,G5/G6IV,301.06139004,-24.52185826, 7.51, 0.770,0.81,0.81,STAR G5IV,59.1366055588409
HIP 40514,  -30.23,   45.59,  10.44,A1IV/V,299.36597074,-25.83769613, 6.76, 0.064,0.07,0.05,STAR A1IV,95.7854406130268
HIP 50605,  -47.25,   28.96,  13.45,F5IV,300.61551642,-24.38887983, 7.80, 0.441,0.51,0.51,STAR F5IV,74.3494423791822
HIP 65758, -160.74,  -56.86,  17.94,G5/G6V,303.56106355,-23.62353571, 9.19, 0.750,0.79,0.83,STAR G5V,55.7413600891862
HIP 40951,  -29.65,   71.09,  11.82,F5V,299.21736152,-25.69277878, 8.47, 0.442,0.51,0.53,STAR F5V,84.6023688663282
HIP 34967,  -89.68,   57.81,  11.86,F8V,298.75575762,-26.69631653, 8.60, 0.563,0.64,0.64,STAR F8V,84.3170320404722
HIP 92332,   51.15,  -60.52,  13.36,F5V,307.20362722,-27.02497253, 7.98, 0.521,0.59,0.59,STAR F5V,74.8502994011976
HIP 110867,  167.84, -159.78,  16.19,K0III,305.54162612,-30.2167636, 8.10, 0.913,0.96,0.96,STAR K0III,61.7665225447807
HIP 46892,  -51.52,  -19.22,  10.70,F3/F5IV+...,299.59683326,-24.49968175, 7.08, 0.431,0.5,0.51,STAR F3IV,93.4579439252336
HIP 46870,  -48.86,  -20.46,  11.06,F2,299.59335221,-24.50257915, 7.60, 0.537,0.61,0.59,STAR F2,90.4159132007233
HIP 3470,   91.56,   -4.20,  15.37,F8/G0V,303.08028959,-31.23468508, 8.28, 0.571,0.64,0.64,STAR F8V,65.0618087182824
HIP 107949,  -16.72,    1.69,  10.51,F7V,306.32062873,-30.0409462, 7.70, 0.509,0.58,0.47,STAR F7V,95.1474785918173
HIP 66753,  -87.65,  -21.03,  12.71,A2m...,303.9122055,-23.0087878, 5.56, 0.183,0.2,0.18,STAR A2,78.6782061369001
HIP 91434,  147.50,  -42.38,  15.89,G0V,307.73378499,-26.81071841, 8.11, 0.580,0.65,0.65,STAR G0V,62.9326620516048
HIP 75015,  -58.30,    2.27,  13.20,F8/G0V,305.77378076,-23.65286156, 8.58, 0.549,0.62,0.65,STAR F8V,75.7575757575758
HIP 43908, -116.27,   33.74,  20.73,F0III,298.8504562,-24.81562937, 5.43, 0.306,0.35,0.35,STAR F0III,48.2392667631452
HIP 60926,   23.38,   30.35,  11.73,F6V,302.46827655,-22.72752353, 8.12, 0.521,0.59,0.59,STAR F6V,85.2514919011083
HIP 56706,   29.76,    9.15,  11.36,F2III/IV,301.38233223,-22.8386841, 7.47, 0.409,0.48,0.48,STAR F2IV,88.0281690140845
HIP 3053,  -86.37,  -28.79,  26.42,G8V,303.22972213,-31.70854876, 7.74, 0.754,0.8,0.8,STAR G8V,37.8501135503407
HIP 22504,   48.40,  -38.00,  23.20,G3V,298.3457959,-29.3814091, 8.14, 0.614,0.68,0.68,STAR G3V,43.1034482758621
HIP 88274,   -4.48, -144.72,  14.91,F4V,308.13183378,-25.99965881, 6.45, 0.437,0.51,0.51,STAR F4V,67.0690811535882
HIP 81063,  -66.08, -274.04,  12.09,,307.28903578,-24.33222258,10.07, 0.601,0.67,0.6,UNIDENTIFIED,82.7129859387924
HIP 96614,   92.80,  -29.93,  10.72,G1V,308.47404226,-28.03901553, 8.27, 0.608,0.68,0.65,STAR G1V,93.2835820895522
HIP 55746,  -47.95,   12.13,  12.07,F5V,300.93069377,-22.42103847, 7.64, 0.475,0.55,0.55,STAR F5V,82.8500414250207
HIP 74296,    3.22,    4.03,  10.24,B9.5V,306.16669688,-22.81834706, 5.88,-0.031,-0.01,0,STAR B9V,97.65625
HIP 105274,   91.81,  -68.75,  15.20,F6/F7V,307.77683331,-30.19998594, 7.76, 0.501,0.57,0.57,STAR F6V,65.7894736842105
HIP 95781,   68.97,  -80.35,  13.00,G5IV,308.82688034,-27.8640974, 7.70, 0.744,0.79,0.76,STAR G5IV,76.9230769230769
HIP 83751,   51.66,  -22.13,  15.32,G0V,308.20423563,-24.6836403, 8.67, 0.594,0.66,0.68,STAR G0V,65.2741514360313
HIP 76178, -108.85, -149.00,  12.09,G0V,306.73506283,-22.98031772, 9.02, 0.548,0.62,0.62,STAR G0V,82.7129859387924
HIP 14759,  592.38,  209.06,  15.27,K5,299.28094346,-31.5615206,10.25, 0.840,0.88,0.86,STAR K5,65.4878847413229
HIP 76996,  137.01,   96.74,  15.02,A2V,307.02684441,-23.01917697, 5.57, 0.118,0.13,0.12,STAR A2V,66.577896138482
HIP 80382,   28.97,  -78.28,  10.45,G2V,307.78346164,-23.72890765, 8.67, 0.651,0.71,0.68,STAR G2V,95.6937799043062
HIP 102205,   60.30,  -25.44,  11.89,A1m...,308.6243741,-29.61967399, 6.94, 0.221,0.19,0.19,STAR A1,84.1042893187553
HIP 93276,    3.89,  -56.59,  11.96,F8/G0V,309.2245588,-27.19698615, 9.22, 0.569,0.64,0.66,STAR F8V,83.6120401337793
HIP 95930,   37.83,  -53.78,  10.09,F5V,309.19929157,-27.94280197, 8.60, 0.463,0.53,0.53,STAR F5V,99.1080277502478
HIP 59928,  -94.78,    5.30,  10.47,F5V,302.02981234,-21.47825929, 8.49, 0.465,0.54,0.58,STAR F5V,95.5109837631328
HIP 12921,  -71.78,   47.21,  15.84,G8V,299.69522861,-32.10587719, 9.81, 0.730,0.78,0.81,STAR G8V,63.1313131313131
HIP 112859,  168.93,  -76.31,  15.86,M...,306.3150902,-32.05378831, 9.88, 0.966,1.01,0.94,STAR M0,63.0517023959647
HIP 79242, -337.59,  -31.15,  27.88,K0V,307.72091792,-23.31786575, 7.70, 0.790,0.83,0.82,STAR K0V,35.8680057388809
HIP 107239,  -19.96, -118.48,  16.56,G3V,307.93198434,-31.02989216, 8.88, 0.660,0.72,0.71,STAR G3V,60.3864734299517
HIP 111982,  -10.44, -106.99,  11.23,F6V,306.65517535,-32.01761062, 8.81, 0.474,0.55,0.48,STAR F6V,89.0471950133571
HIP 79682,  191.12,   26.69,  19.72,G3V,307.90806607,-23.35002885, 8.74, 0.620,0.69,0.64,STAR G3V,50.709939148073
HIP 87414,   13.44,   -7.96,  13.71,G0V,309.23745034,-25.47439802, 7.63, 0.600,0.67,0.66,STAR G0V,72.9394602479942
HIP 99902,  -72.71,  -56.05,  15.99,G8IV/V,309.24076281,-29.12252266, 9.72, 0.870,0.88,0.81,STAR G8IV,62.5390869293308
HIP 49442, -104.76,   -0.46,  14.41,F8V,298.69645621,-22.63481461, 7.18, 0.591,0.66,0.64,STAR F8V,69.3962526023595
HIP 96311,   56.74,  -95.17,  10.12,F7/F8V,309.52923735,-28.09228823, 8.46, 0.513,0.59,0.59,STAR F7V,98.8142292490119
HIP 68057, -151.72, -173.61,  11.43,G5,304.70507968,-21.41235119,10.28, 0.634,0.7,0.7,STAR G5,87.4890638670166
HIP 32435,   18.91,   62.52,  17.46,F5V,296.18090565,-27.10342724, 7.46, 0.460,0.53,0.53,STAR F5V,57.2737686139748
HIP 66660,   89.17,   14.48,  11.87,F5V,304.30152917,-21.16599939, 7.22, 0.422,0.49,0.47,STAR F5V,84.24599831508
HIP 23824,   58.04,  147.61,  21.01,F8V,296.58122998,-29.67933067, 6.80, 0.573,0.65,0.65,STAR F8V,47.5963826749167
HIP 3911,  138.83,   29.90,  16.94,F7V,302.97385249,-33.38417491, 7.94, 0.522,0.59,0.63,STAR F7V,59.0318772136954
HIP 108322,  159.26,  -80.83,  13.80,G8IV/V,308.01409349,-31.57297355, 9.30, 0.722,0.77,0.82,STAR G8IV,72.463768115942
HIP 84800,   75.79,    3.90,  13.55,G3V,309.3312134,-24.52981324, 9.12, 0.581,0.65,0.67,STAR G3V,73.8007380073801
HIP 70638,  -95.79,  -12.91,  11.70,K2III,305.67814351,-21.31168412, 4.31, 1.300,1.3,1.3,STAR K2III,85.4700854700855
HIP 96923,   38.32,  -83.56,  10.51,G3V,309.96974866,-28.3446273, 9.32, 0.635,0.7,0.68,STAR G3V,95.1474785918173
HIP 81390,   78.59,   68.00,  21.41,K0V,308.79226649,-23.44302985, 8.31, 0.835,0.85,0.86,STAR K0V,46.7071461933676
HIP 94347,  136.95, -128.05,  22.25,F5V,310.25450254,-27.52717187, 7.26, 0.444,0.51,0.49,STAR F5V,44.9438202247191
HIP 80611, -133.76, -166.11,  11.06,F5V,308.67309739,-23.18056183, 8.37, 0.499,0.63,0.63,STAR F5V,90.4159132007233
HIP 112049,   39.11,  -40.85,  23.29,K2III,307.08613284,-32.58372894, 9.39, 0.972,0.96,1.18,STAR K2III,42.93688278231
HIP 8018,   -8.05,  -33.06,  14.95,K0/K1III+..,301.16164792,-33.58325396, 7.22, 0.710,0.76,0.77,STAR K1III,66.8896321070234
HIP 100697,   23.65,    7.54,  12.95,A2/A3m...,309.99634756,-29.60388282, 6.15, 0.203,0.22,0.22,STAR A2,77.2200772200772
HIP 111898,   52.17,  -24.02,  10.15,A9IV,307.27888153,-32.72930233, 6.68, 0.319,0.37,0.35,STAR A9IV,98.5221674876847
HIP 82853,   37.68, -145.83,  14.60,G5/G6V,309.41682408,-23.70630601, 8.99, 0.674,0.73,0.74,STAR G5V,68.4931506849315
HIP 105511,    7.03,  -63.72,  14.28,F0/F2+...,309.2076371,-31.13967584, 7.19, 0.339,0.4,0.37,STAR F2,70.0280112044818
HIP 24202,  -33.29,  -49.81,  12.65,F8V,295.79238493,-29.82458634, 8.70, 0.558,0.63,0.64,STAR F8V,79.0513833992095
HIP 52104, -265.89,  193.79,  11.32,G3/G5IV/V,298.89140744,-21.30328595, 8.84, 0.667,0.73,0.73,STAR G3IV,88.339222614841
HIP 61395, -127.85,    7.06,  15.68,K2/K3V,302.39229088,-20.12590936, 9.60, 0.976,1.02,0.97,STAR K2V,63.7755102040816
HIP 7601,  122.30,  120.70,  36.86,G2V,301.22932694,-33.99866586, 5.88, 0.620,0.66,0.66,STAR G2V,27.1296798697775
HIP 50461,   47.42,  -18.49,  12.44,K0/K1III,298.21516581,-21.48859297, 6.68, 0.996,0.97,0.97,STAR K1III,80.3858520900322
HIP 20446,  -13.43,    4.65,  10.05,A7IV/V,296.31278145,-31.25993269, 6.77, 0.209,0.23,0.23,STAR A7IV,99.502487562189
HIP 32351,  -32.71,    9.80,  12.43,F0/F2V,294.94949573,-27.09680329, 7.60, 0.401,0.47,0.47,STAR F2V,80.450522928399
HIP 49889, -450.52,  329.28,  35.62,K:,298.00130247,-21.58445502,11.07, 1.420,1.72,1.72,STAR K0,28.0741156653565
HIP 14223,  376.51,  245.39,  28.11,,298.29033258,-33.05270462,10.77,,,0.74,UNIDENTIFIED,35.5745286374956
HIP 99318,   43.12,  -70.90,  11.06,F5V,310.71235783,-29.31869627, 8.15, 0.471,0.54,0.54,STAR F5V,90.4159132007233
HIP 64119, -128.18,  -26.89,  10.58,G0V,303.50578539,-19.86826287, 8.09, 0.617,0.69,0.68,STAR G0V,94.5179584120983
HIP 113807,  354.69, -121.07,  16.89,K0IV,306.91951537,-33.55940215, 7.77, 0.898,0.9,0.9,STAR K0IV,59.206631142688
HIP 41910,  -66.94,   67.75,  13.20,F6V,295.63682366,-23.78302583, 8.87, 0.539,0.61,0.58,STAR F6V,75.7575757575758
HIP 21455,  173.71,  147.92,  23.01,K1/K2V,295.73327554,-31.06460594, 9.48, 0.865,0.91,0.88,STAR K1V,43.4593654932638
HIP 58623, -161.39,   91.80,  14.84,G6/G8V:,301.22002816,-19.85178803, 9.42, 0.726,0.78,0.8,STAR G6V,67.3854447439353
HIP 5549,  186.54, -196.85,  13.40,G1V,302.15597172,-34.55015702, 8.78, 0.602,0.67,0.67,STAR G1V,74.6268656716418
HIP 58361,   41.48,  -21.49,  11.52,G3V,301.10125992,-19.84218954, 8.74, 0.638,0.7,0.67,STAR G3V,86.8055555555556
HIP 117066, -129.45,  -91.76,  25.18,G2V,305.55598892,-34.27309801, 7.68, 0.608,0.68,0.66,STAR G2V,39.714058776807
HIP 3716, -153.59, -153.70,  13.96,G3V,303.0799945,-34.61968144, 9.19, 0.666,0.73,0.73,STAR G3V,71.6332378223496
HIP 22646,  137.84,  150.07,  30.39,K2V,295.34002622,-30.6590294, 8.59, 0.890,0.93,0.9,STAR K2V,32.9055610398157
HIP 107747,   83.14,  -49.89,  10.11,F6V,309.30576128,-32.29038616, 7.16, 0.485,0.54,0.54,STAR F6V,98.9119683481701
HIP 31931,  -65.82,  281.74,  20.94,,294.36589495,-27.23549913,10.35, 1.086,1.16,1.16,UNIDENTIFIED,47.7554918815664
HIP 44800,   34.24,  -15.11,  12.56,F7V,296.047674,-22.66128702, 7.64, 0.535,0.62,0.62,STAR F7V,79.6178343949044
HIP 16768,   32.45,   16.39,  10.19,G2V,296.93058157,-32.79317477, 9.35, 0.615,0.68,0.65,STAR G2V,98.135426889107
HIP 9191,  -66.37,   14.63,  16.89,G8/K0V:+...,300.24843418,-34.48243856, 8.58, 0.648,0.71,0.69,STAR G8V,59.206631142688
HIP 101628, -123.80, -108.57,  14.14,G0V,310.95080274,-30.29275279, 9.16, 0.618,0.69,0.7,STAR G0V,70.7213578500707
HIP 102868,   24.55,  -77.22,  13.94,G2V,310.74812973,-30.75014351, 9.30, 0.646,0.71,0.6,STAR G2V,71.7360114777618
HIP 12018,   27.33, -123.58,  14.88,G2V,298.84794022,-34.05332518, 7.44, 0.684,0.74,0.74,STAR G2V,67.2043010752688
HIP 814,  -21.66,  -20.39,  13.45,K1/K2III,304.62760939,-34.76748094, 5.29, 1.049,0.98,0.98,STAR K1III,74.3494423791822
HIP 87091,  -38.99, -207.27,  32.66,K2IV/V,311.17737681,-24.75232352, 9.01, 0.980,1.02,0.93,STAR K2IV,30.6184935701164
HIP 118114,  -26.62,  -25.15,  10.38,K0III,305.14510904,-34.72559359, 5.72, 1.055,1.02,1.02,STAR K0III,96.3391136801542
HIP 116939,  260.68, -107.80,  19.27,K5,305.80136357,-34.6954909, 9.80, 0.920,0.96,0.96,STAR K5,51.8941359626362
HIP 99634,   85.72,  -19.63,  32.10,K2V,311.53101651,-29.65113109, 8.46, 0.896,0.9,0.89,STAR K2V,31.1526479750779
HIP 104436,  264.81,  -48.34,  41.28,G3V,310.63322824,-31.42936026, 6.98, 0.619,0.69,0.67,STAR G3V,24.2248062015504
HIP 117689,  -49.07,  -20.91,  12.20,G7III,305.41331459,-34.82162737, 5.10, 0.934,0.93,0.93,STAR G7III,81.9672131147541
HIP 68616,  -42.61,   -5.63,  10.83,F8/G0V,305.56944179,-19.34629421, 8.53, 0.586,0.66,0.67,STAR F8V,92.3361034164358
HIP 17184,  134.91,  201.71,  20.29,G6V,296.34293173,-33.04197302, 8.65, 0.692,0.75,0.75,STAR G6V,49.2853622474125
HIP 67146, -198.81,  -82.03,  10.25,G1V,304.96381547,-19.12190969, 9.44, 0.580,0.65,0.65,STAR G1V,97.5609756097561
HIP 25612,  -29.03, -441.37,  32.84,M,294.0675374,-29.76696411,10.12, 1.170,1.28,1.28,STAR M0,30.4506699147381
HIP 45183,  -79.82,   24.16,  15.60,F6V,295.67716477,-22.19453714, 7.49, 0.556,0.63,0.63,STAR F6V,64.1025641025641
HIP 76391,  -19.82,   93.40,  12.69,F6V,308.74790155,-20.78336082, 8.20, 0.538,0.61,0.61,STAR F6V,78.8022064617809
HIP 29792,   -2.25,   -9.48,  17.05,G8V,293.55115192,-28.09120509, 9.39, 0.770,0.81,0.8,STAR G8V,58.6510263929619
HIP 54017,  -60.79,   47.58,  11.86,F7V,298.89142303,-19.61369272, 7.88, 0.563,0.64,0.61,STAR F7V,84.3170320404722
HIP 100359,  106.98, -172.31,  13.91,G3IV/V,311.88858788,-30.04334822, 8.65, 0.643,0.71,0.71,STAR G3IV,71.8907260963336
HIP 26269,  -30.56,   30.06,  20.12,F6V,293.80551847,-29.55479336, 7.12, 0.496,0.57,0.57,STAR F6V,49.7017892644135
HIP 38017,  -32.21,   42.56,  11.77,Ap...,293.94517176,-24.8082816, 6.79, 0.160,0.13,0.13,STAR A0,84.9617672047579
HIP 20297,    9.07,  126.08,  18.61,F0/F2III,295.06719891,-32.04685997, 5.78, 0.359,0.42,0.42,STAR F2III,53.7345513164965
HIP 53700, -148.92,   67.60,  10.72,F7IV,298.7279731,-19.61572597, 6.70, 0.534,0.61,0.61,STAR F7IV,93.2835820895522
HIP 95344, -213.84, -154.42,  11.59,G2/G3V,312.42658362,-27.9993602, 8.72, 0.656,0.72,0.72,STAR G2V,86.2812769628991
HIP 9052,   66.95,   22.11,  13.66,F3IV/V,300.02009738,-35.25720885, 6.93, 0.380,0.44,0.44,STAR F3IV,73.2064421669107
HIP 87968,   -7.95, -118.19,  14.32,F5IV/V,312.10359049,-24.86272165, 7.30, 0.418,0.48,0.47,STAR F5IV,69.8324022346369
HIP 70610,  -42.12, -224.00,  27.57,K2/K3V:,306.57308566,-19.26176069, 9.68, 1.016,1.06,1.06,STAR K2V,36.2713093942691
HIP 28125,   -7.65,  342.58,  16.97,K,293.37030029,-28.84018917, 9.95, 0.808,0.85,0.83,STAR K0,58.9275191514437
HIP 112405,  -55.35,    0.88,  23.23,A9IV/V,308.35177512,-34.38412695, 4.13, 0.208,0.24,0.24,STAR A9IV,43.0477830391735
HIP 114859,  504.34,  116.72,  45.21,M,307.18054245,-34.95264459, 9.96, 1.050,1.1,1.1,STAR M0,22.11900022119
HIP 63483,  -76.42,   -8.86,  10.05,F6V,303.28990737,-18.46863976, 9.07, 0.464,0.53,0.6,STAR F6V,99.502487562189
HIP 65302, -360.19, -148.86,  29.33,G5V,304.18628618,-18.51503344, 7.88, 0.667,0.73,0.73,STAR G5V,34.0947834981248
HIP 92358,   -9.77,   30.06,  11.75,F6V,312.71329397,-26.71125898, 8.28, 0.501,0.57,0.56,STAR F6V,85.1063829787234
HIP 15803,  147.16,  174.60,  21.26,,296.45665554,-33.86223186,11.96,,,0.74,UNIDENTIFIED,47.0366886171214
HIP 96425,   95.16,  107.51,  22.20,G8IV/V,312.7100705,-28.48869809, 8.46, 0.774,0.81,0.83,STAR G8IV,45.0450450450451
HIP 89337, -126.56, -259.86,  12.63,,312.56767532,-25.35452869,10.58, 0.919,0.96,0.96,UNIDENTIFIED,79.1765637371338
HIP 24542,   63.80,   77.27,  17.65,G8/K0V:,293.46006893,-30.42225162, 9.65, 0.786,0.82,0.83,STAR G8V,56.657223796034
HIP 8701,   84.12,   16.95,  32.38,K1V,300.0535331,-35.7679815, 8.95, 0.888,0.93,0.91,STAR K1V,30.8832612723904
HIP 6281,  -31.22,   39.02,  12.96,G3V,301.52945175,-36.03196933, 9.31, 0.603,0.67,0.73,STAR G3V,77.1604938271605
HIP 69896,  -19.95,  -65.39,  23.36,A2m...,306.43036143,-18.73117045, 4.89, 0.243,0.24,0.24,STAR A2,42.8082191780822
HIP 24718,  -49.80,   47.59,  14.06,G2V,293.31020554,-30.37726443, 8.44, 0.700,0.62,0.62,STAR G2V,71.1237553342817
HIP 41191, -151.92,  213.07,  12.93,G8III,293.84452223,-23.25624531, 5.67, 1.018,1.03,1.03,STAR G8III,77.3395204949729
HIP 36187,   64.14,  -36.38,  13.16,G2V,292.89277555,-25.34862044, 9.15, 0.618,0.69,0.63,STAR G2V,75.9878419452888
HIP 53651, -149.27,   62.49,  13.88,F8/G0V,298.34420501,-18.93961915, 8.65, 0.552,0.62,0.62,STAR F8V,72.0461095100865
HIP 46107, -138.55,  135.39,  17.69,F3/F5IV,295.17287394,-21.22447309, 5.34, 0.454,0.52,0.52,STAR F3IV,56.5291124929339
HIP 22295,   47.95,   40.56,  16.55,F7V,293.64137429,-31.54690619, 8.14, 0.538,0.61,0.61,STAR F7V,60.4229607250755
HIP 80200,  -43.85,   -8.15,  11.30,F5IV/V,310.82766139,-21.30814566, 7.04, 0.435,0.5,0.5,STAR F5IV,88.4955752212389
HIP 19188,  -27.77, -236.53,  14.08,G2V,294.6258662,-32.98122828, 7.89, 0.632,0.7,0.7,STAR G2V,71.0227272727273
HIP 104206,   59.44, -140.79,  11.79,F0/F2IV,312.04389258,-32.00977678, 7.12, 0.351,0.41,0.41,STAR F2IV,84.8176420695505
HIP 111153,   16.41,  -29.19,  16.56,G3V,309.41145951,-34.5933269, 8.97, 0.650,0.71,0.69,STAR G3V,60.3864734299517
HIP 8119,  190.00,   49.58,  14.23,K0,300.26699316,-36.27858812, 9.71, 0.780,0.82,0.82,STAR K0,70.2740688685875
HIP 93889,  -48.76,   10.14,  14.35,G5V,313.55857933,-27.37437003, 8.83, 0.721,0.77,0.75,STAR G5V,69.6864111498258
HIP 85970,   -0.06,  -44.73,  10.26,G2IV,312.682216,-23.66733074, 8.71, 0.680,0.74,0.7,STAR G2IV,97.4658869395712
HIP 9400,  -67.30, -141.86,  24.32,K1V,299.45269146,-36.1226231, 8.93, 0.797,0.83,0.87,STAR K1V,41.1184210526316
HIP 46120,  202.13, 1237.24,  16.46,G0,294.9676154,-21.04603484,10.11, 0.561,0.72,0.72,STAR G0,60.7533414337789
HIP 51713,    7.34,   58.27,  11.96,F3V,297.27947923,-19.19153253, 7.18, 0.415,0.48,0.48,STAR F3V,83.6120401337793
HIP 26394,  311.97, 1050.19,  54.92,G3IV,292.5165565,-29.77645212, 5.65, 0.600,0.64,0.64,STAR G3IV,18.2083029861617
HIP 110329,   -9.07,  -23.75,  11.97,F7/G0 + F/G,309.99401109,-34.50800982, 8.43, 0.569,0.64,0.67,STAR F7,83.5421888053467
HIP 110256,   56.36,  -42.78,  12.15,M6III,310.03547553,-34.49700354, 5.09, 1.276,3.21,4.18,STAR M6III,82.3045267489712
HIP 24084,   62.48,   80.97,  12.47,F7/F8V,292.82116778,-30.85575959, 7.58, 0.513,0.59,0.59,STAR F7V,80.1924619085806
HIP 45829, -120.44,  164.58,  10.85,K0IV,294.75105128,-21.07198085, 7.41, 0.965,1.01,1.01,STAR K0IV,92.1658986175115
HIP 108768,  223.60, -105.54,  13.82,K:,310.79550444,-34.06472519,11.77, 1.100,1.18,1.18,STAR K0,72.3589001447178
HIP 29515,  -25.51,   24.91,  11.76,F8V,292.0643266,-28.32332143, 9.04, 0.556,0.63,0.65,STAR F8V,85.0340136054422
HIP 43490, -257.72,  230.00,  14.10,G0,293.8798537,-21.99106894, 9.55, 0.544,0.62,0.62,STAR G0,70.9219858156028
HIP 8224,  178.66,  212.39,  29.96,K5,300.10358696,-36.52667927, 9.48, 1.126,1.21,1.21,STAR K5,33.3778371161549
HIP 65771,   -9.76,   -6.31,  11.28,F0/F2V,304.59258284,-17.50706823, 7.91, 0.408,0.47,0.47,STAR F2V,88.6524822695036
HIP 76351,  -47.57,   44.04,  26.01,K0/K1V,309.74343204,-19.5824949, 8.71, 0.891,0.9,0.86,STAR K1V,38.4467512495194
HIP 76362,  -94.70,   38.05,  99.90,,309.74946081,-19.58394191,11.65,,,0.74,UNIDENTIFIED,10.01001001001
HIP 35937,  176.36,   61.96,  33.17,M...,292.17765782,-25.30873624,10.12, 1.274,1.45,1.45,STAR M0,30.1477238468496
HIP 8366,  -71.73,  -58.41,  16.13,F0III,299.9662378,-36.62546499, 6.05, 0.338,0.39,0.39,STAR F0III,61.9962802231866
HIP 38259,   20.94,   21.36,  10.48,G5V,292.49685279,-24.24927248, 8.67, 0.674,0.73,0.69,STAR G5V,95.4198473282443
HIP 52874,  -27.24,   57.79,  11.09,G3V,297.65776542,-18.57008129, 8.99, 0.659,0.72,0.78,STAR G3V,90.1713255184851
HIP 108900,  156.32, -175.17,  15.36,,310.87607709,-34.21966185,12.05,,,0.74,UNIDENTIFIED,65.1041666666667
HIP 75937,   19.95,  -45.99,  10.95,G0/G1,309.59300942,-19.41233609, 9.92,,,0.67,STAR G1,91.324200913242
HIP 105514,  240.35, -105.70,  11.58,G8IV,312.23947629,-32.8645875, 7.65, 0.834,0.85,0.84,STAR G8IV,86.3557858376511
HIP 70861,  -45.22,    6.51,  13.52,F5V,307.23120891,-18.05967618, 7.56, 0.470,0.54,0.57,STAR F5V,73.9644970414201
HIP 80741, -194.17, -127.97,  12.27,G6V,311.55399352,-21.10736373, 9.23, 0.690,0.75,0.75,STAR G6V,81.4995925020375
HIP 35661,  -26.79,  125.04,  12.49,G6IV/V+...,291.90311192,-25.38624882, 9.11, 0.632,0.7,0.64,STAR G6IV,80.0640512409928
HIP 117596,  -84.59,    4.50,  18.64,G3V,306.21081951,-36.84137638, 8.03, 0.666,0.73,0.73,STAR G3V,53.6480686695279
HIP 28525,    0.45,   37.18,  13.79,G0V,291.62746055,-28.87231095, 8.69, 0.602,0.67,0.65,STAR G0V,72.5163161711385
HIP 1292,  433.87,  -57.95,  56.76,G6V,304.87270155,-37.14402034, 6.59, 0.749,0.79,0.79,STAR G6V,17.6180408738548
