name,pm_ra,pm_dec,parallax,spect_type,lii,bii,vmag,bv_color,vi_color,vi_color_reduct,_class,dist
HIP 102500,    1.69,  -22.69,  16.88,K3...,102.99280906,15.19404553,10.45, 0.990,1.03,1.52,STAR K3,59.2417061611374
HIP 29067,  -48.32, -112.31,  40.12,K8,146.17653613,21.08342594, 9.75, 1.250,1.41,1.41,STAR K8,24.9252243270189
HIP 112970,   78.49,   63.42,  17.27,F2,112.13938336,7.6419258, 6.98, 0.420,0.49,0.49,STAR F2,57.9038795599305
HIP 112946,   80.88,   59.22,  17.21,F5,112.12384982,7.65343778, 7.53, 0.470,0.54,0.54,STAR F5,58.1057524694945
HIP 26008,    2.63, -190.31,  17.07,F0,144.71619471,18.12325433, 6.82, 0.370,0.43,0.45,STAR F0,58.5823081429408
HIP 82896,  -73.74,  263.02,  19.73,G0,99.11580419,35.66789238, 8.70, 0.659,0.72,0.72,STAR G0,50.6842372022301
HIP 102684,   40.07,  108.97,  12.60,F0,103.17456644,15.08307919, 6.98, 0.380,0.44,0.43,STAR F0,79.3650793650794
HIP 81813, -282.36,  427.58,  41.15,K1V,99.69714315,36.86621349, 7.56, 0.769,0.81,0.81,STAR K1V,24.3013365735115
HIP 115088,   54.88,   10.91,  15.48,K0III,114.42547825,6.78594708, 4.75, 0.836,0.86,0.86,STAR K0III,64.5994832041344
HIP 6692,   75.07,   26.82,  16.89,K0III,126.14841377,5.47387931, 4.72, 1.047,1.01,1.01,STAR K0III,59.206631142688
HIP 85805,  -13.56,  132.70,  15.02,K0III,98.42288344,32.40014678, 5.07, 1.077,1.04,1.04,STAR K0III,66.577896138482
HIP 30833,   46.06, -229.03,  13.65,G5,146.60893733,22.98174541, 9.58, 0.679,0.74,0.74,STAR G5,73.2600732600733
HIP 54721,   27.70,    6.57,  10.87,A3V,135.92122195,46.27318992, 6.40, 0.127,0.14,0.14,STAR A3V,91.9963201471941
HIP 35706,   41.14,  122.83,  21.75,K8,147.45154429,27.8683875,10.11, 1.140,1.23,1.23,STAR K8,45.9770114942529
HIP 34115,  346.92,   54.34,  65.44,M5,147.25008238,26.24945745,11.95, 1.527,2.28,2.28,STAR M5,15.281173594132
