name,ra,dec,pm_ra,pm_dec,parallax,spect_type,_class,dist
HIP 20195,64.92829315,-80.12013436,-5.72,9.6,3.61,F5IV/V,STAR F5IV,277.01
HIP 105514,320.55868354,-80.11370623,240.35,-105.7,11.58,G8IV,STAR G8IV,86.36
HIP 64173,197.27975349,-80.11349212,-14.41,-11.63,1.4,K3III,STAR K3III,714.29
HIP 5598,17.9426956,-80.11225569,76.54,25.89,6.75,F0V,STAR F0V,148.15
HIP 28068,89.00981574,-80.11060901,-5.83,16.18,2.9,G8/K0III,STAR G8III,344.83
HIP 70248,215.5966542,-80.108911,-10.89,-14.13,5.92,B4V,STAR B4V,168.92
HIP 70861,217.35919943,-80.10336146,-45.22,6.51,13.52,F5V,STAR F5V,73.96
HIP 84180,258.12583781,-80.09860891,-52.89,-90.47,5.94,F8V,STAR F8V,168.35
HIP 116337,353.59589572,-80.09844465,9.52,2.66,2.67,F5IV/V,STAR F5IV,374.53
HIP 80741,247.27165561,-80.09706422,-194.17,-127.97,12.27,G6V,STAR G6V,81.50
HIP 97159,296.22708463,-80.08853244,8.22,-35.98,2.17,M2III,STAR M2III,460.83
HIP 83175,254.99025232,-80.08617684,-7.6,-7.63,2.69,M,STAR M0,371.75
HIP 120159,320.74595833,-80.08133333,,,,,UNIDENTIFIED,#DIV/0!
HIP 68827,211.38404629,-80.07964945,7.31,-16.14,1.33,F0IV/V,STAR F0IV,751.88
HIP 99511,302.94298876,-80.07657037,11.78,-276.06,7.13,,UNIDENTIFIED,140.25
HIP 83046,254.54669402,-80.07246711,-6.69,-17.7,6.22,A0Vn,STAR A0V,160.77
HIP 60261,185.34141002,-80.06154016,-52.43,-4.38,6.96,A2m...,STAR A2,143.68
HIP 48320,147.75333462,-80.06109591,-3.19,15.33,4.64,B8IV,STAR B8IV,215.52
HIP 11183,36.01008597,-80.0454869,6.1,2.61,3.31,M...,STAR M0,302.11
HIP 106424,323.33778586,-80.03930788,22.52,-22.09,9.05,A0V,STAR A0V,110.50
HIP 17321,55.61886909,-80.02530175,59.79,-69.75,-3.52,F:,STAR F0,-284.09
HIP 97459,297.13749014,-80.02394413,21.32,-103.2,4.17,G6IV,STAR G6IV,239.81
HIP 17319,55.61073957,-80.02016443,-0.03,0.14,2.32,G1III/IV,STAR G1IV,431.03
HIP 12667,40.68591222,-80.0120697,14.88,-6.62,4.01,K0III,STAR K0III,249.38
HIP 71550,219.5111517,-79.99592869,-14.88,-8.95,5.66,A4IV,STAR A4IV,176.68
HIP 94421,288.27327737,-79.99447437,-7.06,-40.52,4.39,K,STAR K0,227.79
HIP 95958,292.70834593,-79.98587565,9.11,-18.5,5.2,F5/F6V,STAR F5V,192.31
HIP 34744,107.90299552,-79.98570506,-10.72,9.23,5.07,A2V,STAR A2V,197.24
HIP 42427,129.77850898,-79.98330198,-4.02,1.51,1.31,K5,STAR K5,763.36
HIP 64951,199.70140385,-79.97596131,-18.11,-22.9,7.35,B9.5/A0V,STAR B9V,136.05
HIP 53096,162.93466023,-79.96417958,-14.85,-1,2.69,G8/K0III,STAR G8III,371.75
HIP 35661,110.37159772,-79.96055126,-26.79,125.04,12.49,G6IV/V+...,STAR G6IV,80.06
HIP 71209,218.44352117,-79.95522099,-10,-8.36,3.5,G8IIICN...,STAR G8III,285.71
HIP 63417,194.92931933,-79.94666258,-28.28,-16.35,4.72,A1V,STAR A1V,211.86
HIP 90359,276.57108667,-79.92735874,5.72,-17.23,1.67,M1/M2III,STAR M1III,598.80
HIP 7231,23.30383713,-79.92661098,32.51,11.09,3.69,A1IV/V,STAR A1IV,271.00
HIP 106051,322.21043347,-79.92568574,10.15,-16.24,5.41,K0II/III,STAR K0III,184.84
HIP 51785,158.71897474,-79.91678317,-6.18,-3.86,1.73,M0,STAR M0,578.03
HIP 26321,84.0864763,-79.91430909,1.28,-3.91,3.04,A3V,STAR A3V,328.95
HIP 7958,25.54768997,-79.91284388,35.82,26.43,6.52,F0II/III,STAR F0III,153.37
HIP 117596,357.73104716,-79.89858366,-84.59,4.5,18.64,G3V,STAR G3V,53.65
HIP 6641,21.29923965,-79.89606497,26.35,-0.98,2.75,G8/K0III,STAR G8III,363.64
HIP 6618,21.24452645,-79.89366943,70.37,-25.16,-3.01,G5,STAR G5,-332.23
HIP 28525,90.31930573,-79.87178229,0.45,37.18,13.79,G0V,STAR G0V,72.52
HIP 21124,67.90739044,-79.87109682,-1.22,11.05,2.44,K5,STAR K5,409.84
HIP 102608,311.90165716,-79.85364231,-13.42,6.33,5.64,K0IIICN...,STAR K0III,177.30
HIP 1292,4.04683817,-79.85104079,433.87,-57.95,56.76,G6V,STAR G6V,17.62
HIP 85558,262.2681493,-79.84278499,32.44,2.09,7.14,G0V,STAR G0V,140.06
HIP 47186,144.24112521,-79.8397856,-21.86,12.07,3.74,F7/F8V,STAR F7V,267.38
HIP 88757,271.7898086,-79.83784885,34.52,-13.42,6.06,F5V,STAR F5V,165.02
HIP 66697,205.07941991,-79.83356081,-7.39,-1.53,0.58,B9IIIp...,STAR B9III,"1,724.14"
HIP 80158,245.42999759,-79.8318862,-24.01,-52.76,5.83,A5III/IV,STAR A5IV,171.53
HIP 24014,77.43061758,-79.82115588,4.19,10.79,2.59,K1III,STAR K1III,386.10
HIP 12173,39.21492683,-79.81398097,-11.29,-3.31,3.96,K0III,STAR K0III,252.53
HIP 18179,58.33326059,-79.80978558,4.06,0.33,7.62,F5V,STAR F5V,131.23
HIP 52674,161.56275589,-79.80887941,-12.08,15.93,0.71,K0,STAR K0,"1,408.45"
HIP 22260,71.89437577,-79.80724298,-1.42,2.37,2.14,Fm...,STAR F0,467.29
HIP 73041,223.91060349,-79.8057252,-19.05,-1.74,4.89,F5IV/V,STAR F5IV,204.50
HIP 30767,96.98143049,-79.79960184,6.57,9.25,2.24,K5/M0III:,STAR K5III,446.43
HIP 12654,40.64703164,-79.78437921,91.9,108.26,16.85,G8/K0IV/V,STAR G8IV,59.35
HIP 61192,188.07787665,-79.78385898,-29.18,6.5,7.42,A0V,STAR A0V,134.77
HIP 52340,160.46490038,-79.78330226,-17.5,5.82,3.26,B5IV,STAR B5IV,306.75
HIP 67107,206.313895,-79.76810148,-27.26,-8.58,1.05,K4III,STAR K4III,952.38
HIP 25381,81.45441346,-79.76270615,12.39,32.22,4.96,F8IV/V,STAR F8IV,201.61
HIP 53961,165.60052061,-79.76086379,3.72,-7.12,-0.28,K0,STAR K0,"-3,571.43"
HIP 54374,166.87007066,-79.75704467,-12.87,-1.22,4.16,A2V,STAR A2V,240.38
HIP 61288,188.38348201,-79.75448055,-132.35,-38.03,9.83,F7V,STAR F7V,101.73
HIP 70858,217.34622321,-79.74942478,32.42,14.15,3.42,,UNIDENTIFIED,292.40
HIP 70847,217.32231024,-79.74729756,88.31,68.97,10.09,F7/F8V,STAR F7V,99.11
HIP 29092,92.05365,-79.72585505,4.19,21.11,5.31,A0/A1V,STAR A1V,188.32
HIP 59075,181.72549552,-79.72114478,-9.04,14.75,3.86,K0,STAR K0,259.07
HIP 108377,329.34659665,-79.72055358,29.03,-37.08,4.61,K0III,STAR K0III,216.92
HIP 113169,343.74908344,-79.7194756,5.8,-12.38,3.55,K0III,STAR K0III,281.69
HIP 74456,228.23312763,-79.71850884,1.83,0.45,2.04,K2III,STAR K2III,490.20
HIP 30477,96.10267685,-79.71592283,19.01,30.37,4.23,G5IV/V,STAR G5IV,236.41
HIP 70266,215.65741727,-79.71580353,7.13,1.88,2.69,M2III,STAR M2III,371.75
