name,ra,dec,pm_ra,pm_dec,parallax,spect_type,lii,bii,dist
HIP 80742,247.27675018,60.63989348,  -96.97,   54.13,  20.00,G0,91.23027901,40.64138735,50
HIP 25868,82.8366801,60.64278492,  -13.02,   -1.33,  11.65,F8,151.32242045,14.36116108,85.8369098712446
HIP 79629,243.73770117,60.66870708,   25.07,  438.34,  32.72,G5,92.03039185,42.26889031,30.5623471882641
HIP 21571,69.46728677,60.67614221,   60.62,   22.06,  33.84,G5,147.39325161,9.07164056,29.5508274231678
HIP 105357,320.10593109,60.68726632,    5.39,  -16.68,  13.25,F5,99.77425732,7.69411771,75.4716981132076
HIP 60588,186.27068676,60.69736907,  144.12,   -6.20,  23.54,G0p,128.71577291,56.13393575,42.4808836023789
HIP 11706,37.76239564,60.7114451,   73.53,  -22.57,  10.95,F5IV,134.81981975,0.15962096,91.324200913242
HIP 41704,127.56679232,60.7184311, -134.31, -107.73,  17.76,G4II-III,155.97603001,35.4271296,56.3063063063063
HIP 94617,288.819616,60.72448667,   -9.41,  230.18,  10.32,,91.61724752,20.64359827,96.8992248062015
HIP 30275,95.52010229,60.77816518,   -7.36,  -56.73,  10.93,A2,153.95294774,20.02618912,91.4913083257091
HIP 30990,97.56460664,60.78472071,  136.63, -247.10,  13.88,G0,154.29671764,20.97080666,72.0461095100865
HIP 33536,104.54379749,60.79030057,  -43.57, -119.90,  16.05,F8,155.27697264,24.2529936,62.3052959501558
HIP 61886,190.21611625,60.81465021,  -62.90,   23.84,  15.07,G0,125.2528357,56.26592752,66.35700066357
HIP 20475,65.82737806,60.81992538,   39.30,  -53.47,  10.20,G0,146.06748449,7.86170654,98.0392156862745
HIP 111469,338.75177802,60.82637321, -107.99,  -17.43,  15.80,F2V,107.05632374,2.23135297,63.2911392405063
HIP 60504,186.05961813,60.83207484, -114.86,  -17.48,  11.90,F5,128.85235535,55.98242185,84.0336134453782
HIP 13460,43.32647055,60.85347536,  125.46,  -93.99,  27.61,K5V,137.23357463,1.41155888,36.2187613183629
HIP 96049,292.93599189,60.86440921,  -53.09,  -91.67,  12.76,G0,92.50613524,18.81260158,78.3699059561129
HIP 33142,103.51517922,60.87417353,  494.25, -991.36,  94.02,M:,155.06353299,23.78359168,10.6360348861944
HIP 47043,143.80893936,60.89197465,  -43.99,  -66.19,  13.06,F0,153.09543578,43.01124023,76.5696784073507
HIP 32806,102.58282297,60.9293925, -241.49, -184.58,  26.01,G5,154.88674795,23.35654034,38.4467512495194
HIP 35802,110.7677361,60.93042822, -140.68, -244.24,  13.94,G7V:,155.70958313,27.26064784,71.7360114777618
HIP 5829,18.69064697,60.93911573,   60.40,  -44.11,  11.38,F7IV,125.76200774,-1.80439957,87.8734622144112
HIP 1892,5.97214938,60.96163429, -112.27,  -91.00,  18.64,F2,119.59347389,-1.73141407,53.6480686695279
HIP 70252,215.62052386,60.96590392,   -9.72,  -79.76,  23.48,G0,104.820017,52.8428787,42.5894378194208
HIP 67133,206.38084366,60.98252945,  -38.03,   49.45,  32.05,K7,111.54648932,54.93404643,31.201248049922
HIP 101096,307.39897542,60.99240502,  -32.12,   32.22,  12.74,F8,96.04983802,12.68201528,78.4929356357928
HIP 39313,120.56910671,60.99341814,    0.96,   23.79,  17.41,F2,155.939991,32.00990547,57.4382538770821
HIP 91391,279.59046528,61.01729035,    9.75,   51.06,  10.11,F8,90.65570556,25.05386968,98.9119683481701
HIP 53828,165.19803375,61.03813781,   49.66,   54.30,  14.78,G0,144.01410384,51.32107822,67.65899864682
HIP 26988,85.89071793,61.03824331,    7.44,  -79.05,  11.44,F5,151.71262068,15.8539109,87.4125874125874
HIP 87594,268.40203302,61.04380521,    7.91,   26.74,  19.42,F8,89.99387835,30.43463731,51.4933058702369
HIP 23380,75.40009862,61.07843227,   16.40, -179.31,  27.10,F4V,148.9104938,11.57466043,36.90036900369
HIP 56290,173.08648748,61.08275166,  -14.21,  -95.13,  36.34,F6V,138.90375739,53.52420503,27.5178866263071
HIP 65165,200.30146013,61.08471334, -283.70,   37.78,  25.29,G5,116.55566177,55.67348661,39.5413206801107
HIP 13447,43.29355394,61.09691555,  -19.70,   26.43,  13.36,G1V,137.10943842,1.62160459,74.8502994011976
HIP 72029,221.01460504,61.09835347,   41.14,  -32.38,  11.19,F2,101.62892415,51.11727525,89.3655049151028
HIP 12067,38.89766253,61.1064088,   97.68,  -76.85,  20.28,G3V,135.17859365,0.73575671,49.3096646942801
HIP 102727,312.23872779,61.11885714,   19.77,  -40.66,  14.13,F8,97.5563252,10.85862893,70.7714083510262
HIP 4151,13.26783051,61.12355735,  -68.45,  169.72,  53.85,F8V,123.12920975,-1.74756568,18.5701021355617
HIP 23317,75.21658194,61.12527033,  128.94, -221.17,  22.01,K5,148.81833528,11.53099907,45.4338936846888
HIP 110094,334.52644177,61.13412413,  160.74,  128.66,  16.31,G5,105.4739363,3.5719624,61.3120784794605
HIP 32001,100.29311021,61.13600568,  -77.18, -209.27,  23.86,,154.35675974,22.33980515,41.9111483654652
HIP 18324,58.76380482,61.16740375,  437.57, -245.24,  46.95,K0V,143.30405173,5.78495387,21.2992545260916
HIP 43841,133.94801931,61.16741939,   38.34, -113.80,  23.49,K0,154.73066953,38.39493102,42.571306939123
HIP 97612,297.59128154,61.20897379,  -24.42,   39.84,  18.62,F5,93.80181255,16.89489568,53.7056928034372
